count [L.N(Gp)+L.N(Gn) = 4 high low] : , 26570
count [L.N(Gp)+L.N(Gn) = 5] : , 153
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 19
0.0330065
count [L.N(Gp)+L.N(Gn) = 2] : , 404
count [L.N(Gp)+L.N(Gn) = 3] : , 11836
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1971
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 26641
count [L.N(Gp)+L.N(Gn) = 5] : , 148
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 20
0.031889
count [L.N(Gp)+L.N(Gn) = 2] : , 393
count [L.N(Gp)+L.N(Gn) = 3] : , 11931
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1760
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 26766
count [L.N(Gp)+L.N(Gn) = 5] : , 150
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 21
0.0318973
count [L.N(Gp)+L.N(Gn) = 2] : , 385
count [L.N(Gp)+L.N(Gn) = 3] : , 11685
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 2007
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 26761
count [L.N(Gp)+L.N(Gn) = 5] : , 162
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 22
0.0310585
count [L.N(Gp)+L.N(Gn) = 2] : , 375
count [L.N(Gp)+L.N(Gn) = 3] : , 11699
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1905
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 26879
count [L.N(Gp)+L.N(Gn) = 5] : , 142
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 23
0.0310444
count [L.N(Gp)+L.N(Gn) = 2] : , 368
count [L.N(Gp)+L.N(Gn) = 3] : , 11486
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1971
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 27002
count [L.N(Gp)+L.N(Gn) = 5] : , 173
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 24
0.0311537
count [L.N(Gp)+L.N(Gn) = 2] : , 364
count [L.N(Gp)+L.N(Gn) = 3] : , 11320
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 2066
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 27029
count [L.N(Gp)+L.N(Gn) = 5] : , 221
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 25
0.0305949
count [L.N(Gp)+L.N(Gn) = 2] : , 359
count [L.N(Gp)+L.N(Gn) = 3] : , 11375
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1993
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 27088
count [L.N(Gp)+L.N(Gn) = 5] : , 185
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 26
0.0302433
count [L.N(Gp)+L.N(Gn) = 2] : , 353
